timestamp,type,value
1770606068.0258002,BIT,0
1770606068.0258002,BIT,1
1770606068.0258002,BIT,0
1770606068.0258002,BIT,0
1770606068.0258002,BIT,1
1770606068.0258002,BIT,1
1770606068.0258002,BIT,0
1770606068.0258002,BIT,0
1770606068.0258002,BIT,0
1770606068.0258002,BIT,1
1770606068.233886,BIT,0
1770606068.233886,BIT,0
1770606068.233886,BIT,1
1770606068.233886,BIT,1
1770606068.233886,BIT,0
1770606068.233886,BIT,0
1770606068.233886,BIT,1
1770606068.233886,BIT,1
1770606068.233886,BIT,1
1770606068.233886,BIT,1
1770606068.606148,BIT,1
1770606068.606148,BIT,1
1770606068.606148,BIT,1
1770606068.606148,BIT,0
1770606068.606148,BIT,0
1770606068.606148,BIT,0
1770606068.606148,BIT,0
1770606068.606148,BIT,1
1770606068.606148,BIT,0
1770606068.606148,BIT,0
1770606068.840524,BIT,0
1770606068.840524,BIT,1
1770606068.840524,BIT,0
1770606068.840524,BIT,1
1770606068.840524,BIT,1
1770606068.840524,BIT,1
1770606068.840524,BIT,1
1770606068.840524,BIT,0
1770606068.840524,BIT,1
1770606068.840524,BIT,1
1770606069.076064,BIT,0
1770606069.076064,BIT,1
1770606069.076064,BIT,0
1770606069.076064,BIT,1
1770606069.076064,BIT,1
1770606069.076064,BIT,0
1770606069.076064,BIT,1
1770606069.076064,BIT,0
1770606069.076064,BIT,1
1770606069.076064,BIT,0
1770606069.2902596,BIT,1
1770606069.2902596,BIT,0
1770606069.2902596,BIT,0
1770606069.2902596,BIT,0
1770606069.2902596,BIT,1
1770606069.2902596,BIT,1
1770606069.2902596,BIT,0
1770606069.2902596,BIT,0
1770606069.2902596,BIT,1
1770606069.2902596,BIT,1
1770606069.525867,BIT,1
1770606069.525867,BIT,1
1770606069.525867,BIT,1
1770606069.525867,BIT,1
1770606069.525867,BIT,1
1770606069.525867,BIT,1
1770606069.525867,BIT,1
1770606069.525867,BIT,1
1770606069.525867,BIT,0
1770606069.525867,BIT,1
1770606069.745439,BIT,0
1770606069.745439,BIT,1
1770606069.745439,BIT,0
1770606069.745439,BIT,0
1770606069.745439,BIT,0
1770606069.745439,BIT,1
1770606069.745439,BIT,0
1770606069.745439,BIT,0
1770606069.745439,BIT,1
1770606069.745439,BIT,0
1770606069.9834673,BIT,0
1770606069.9834673,BIT,1
1770606069.9834673,BIT,0
1770606069.9834673,BIT,1
1770606069.9834673,BIT,0
1770606069.9834673,BIT,0
1770606069.9834673,BIT,0
1770606069.9834673,BIT,1
1770606069.9834673,BIT,0
1770606069.9834673,BIT,1
1770606070.267974,BIT,0
1770606070.267974,BIT,1
1770606070.267974,BIT,0
1770606070.267974,BIT,0
1770606070.267974,BIT,0
1770606070.267974,BIT,0
1770606070.267974,BIT,0
1770606070.267974,BIT,1
1770606070.267974,BIT,0
1770606070.267974,BIT,0
1770606070.5778573,BIT,1
1770606070.5778573,BIT,1
1770606070.5778573,BIT,1
1770606070.5778573,BIT,0
1770606070.5778573,BIT,1
1770606070.5778573,BIT,0
1770606070.5778573,BIT,1
1770606070.5778573,BIT,1
1770606070.5778573,BIT,0
1770606070.5778573,BIT,0
1770606070.823921,BIT,0
1770606070.823921,BIT,1
1770606070.823921,BIT,1
1770606070.823921,BIT,1
1770606070.823921,BIT,1
1770606070.823921,BIT,1
1770606070.823921,BIT,1
1770606070.823921,BIT,1
1770606070.823921,BIT,1
1770606070.823921,BIT,1
1770606071.0584023,BIT,0
1770606071.0584023,BIT,0
1770606071.0584023,BIT,1
1770606071.0584023,BIT,1
1770606071.0584023,BIT,1
1770606071.0584023,BIT,1
1770606071.0584023,BIT,0
1770606071.0584023,BIT,1
1770606071.0584023,BIT,1
1770606071.0584023,BIT,0
1770606071.318749,BIT,0
1770606071.318749,BIT,0
1770606071.318749,BIT,0
1770606071.318749,BIT,1
1770606071.318749,BIT,1
1770606071.318749,BIT,1
1770606071.318749,BIT,0
1770606071.318749,BIT,0
1770606071.318749,BIT,1
1770606071.318749,BIT,1
1770606071.6590025,BIT,1
1770606071.6590025,BIT,1
1770606071.6590025,BIT,1
1770606071.6590025,BIT,0
1770606071.6590025,BIT,0
1770606071.6590025,BIT,0
1770606071.6590025,BIT,1
1770606071.6590025,BIT,1
1770606071.6590025,BIT,1
1770606071.6590025,BIT,0
1770606071.9867342,BIT,1
1770606071.9867342,BIT,1
1770606071.9867342,BIT,1
1770606071.9867342,BIT,1
1770606071.9867342,BIT,1
1770606071.9867342,BIT,1
1770606071.9867342,BIT,0
1770606071.9867342,BIT,0
1770606071.9867342,BIT,1
1770606071.9867342,BIT,0
1770606072.245495,BIT,1
1770606072.245495,BIT,0
1770606072.245495,BIT,1
1770606072.245495,BIT,1
1770606072.245495,BIT,0
1770606072.245495,BIT,0
1770606072.245495,BIT,0
1770606072.245495,BIT,1
1770606072.245495,BIT,1
1770606072.245495,BIT,0
1770606072.5287018,BIT,0
1770606072.5287018,BIT,1
1770606072.5287018,BIT,1
1770606072.5287018,BIT,1
1770606072.5287018,BIT,1
1770606072.5287018,BIT,1
1770606072.5287018,BIT,0
1770606072.5287018,BIT,0
1770606072.5287018,BIT,1
1770606072.5287018,BIT,1
1770606072.7683222,BIT,1
1770606072.7683222,BIT,1
1770606072.7683222,BIT,1
1770606072.7683222,BIT,0
1770606072.7683222,BIT,0
1770606072.7683222,BIT,1
1770606072.7683222,BIT,1
1770606072.7683222,BIT,0
1770606072.7683222,BIT,1
1770606072.7683222,BIT,1
1770606073.0576618,BIT,1
1770606073.0576618,BIT,0
1770606073.0576618,BIT,1
1770606073.0576618,BIT,1
1770606073.0576618,BIT,0
1770606073.0576618,BIT,1
1770606073.0576618,BIT,1
1770606073.0576618,BIT,1
1770606073.0576618,BIT,1
1770606073.0576618,BIT,0
1770606073.323662,BIT,0
1770606073.323662,BIT,0
1770606073.323662,BIT,1
1770606073.323662,BIT,1
1770606073.323662,BIT,1
1770606073.323662,BIT,0
1770606073.323662,BIT,0
1770606073.323662,BIT,0
1770606073.323662,BIT,0
1770606073.323662,BIT,1
1770606073.5553348,BIT,0
1770606073.5553348,BIT,0
1770606073.5553348,BIT,1
1770606073.5553348,BIT,0
1770606073.5553348,BIT,0
1770606073.5553348,BIT,0
1770606073.5553348,BIT,1
1770606073.5553348,BIT,1
